yearID,AL,NL
1985,1262003.7369491525,1385690.6098823529
1986,1094358.9991836734,1180276.1886705204
1987,1157638.0426623377,1120987.3522257053
1988,1143831.0006936416,1139982.909274448
1989,1204925.6680851064,1226679.567761194
1990,1140948.066329114,1199083.2992366413
1991,1988797.4771544714,1926296.728955696
1992,2157420.3659396754,2301490.139171598
1993,2118865.7016666667,1903198.9618901098
1994,2272713.1963448273,1951716.473184855
1995,2027735.8643584521,1736862.5378787878
1996,2004946.8417558884,1900772.7799568963
1997,2345484.8472943725,2163855.04924406
1998,2496845.70888412,2210014.198477444
1999,2692135.7380891717,2629296.317495327
2000,3467614.8892783504,3430757.0299553573
2001,3919748.9073945405,3751106.249803064
2002,4040876.4706549114,3865256.018819599
2003,4090402.1324409456,4236191.558071748
2004,3977302.7022959185,3901023.9877904328
2005,4076002.837659033,3938299.6569863013
2006,4571634.116931217,3872339.6302947844
2007,4758322.871450381,3778198.7812917596
2008,4760412.513282442,3961690.8139956803
2009,4699357.95642487,4426272.483559718
2010,4700963.734719388,4304760.801461187
2011,4627335.270461539,4166784.473585746
2012,4760943.310776942,4260461.4
2013,4809810.152156862,4721843.457886978
2014,5080063.420894736,4957099.774976303
2015,5526544.644782608,5309752.243176178
2016,5938264.926460807,4977224.14824074
